# Lines starting '# literal-ok:' annotate the next row for spira/literal-lint.sh; drop them with grep -v '^# literal-ok'.
test-aeon-lease.sh	ok	no lease file renders ?
test-aeon-lease.sh	ok	a future deadline renders positive minutes
test-aeon-lease.sh	ok	a Ns future deadline renders ~10m
test-aeon-lease.sh	ok	a past deadline renders negative minutes
test-aeon-lease.sh	ok	an empty lease file renders ?
test-aeon-lease.sh	ok	a non-numeric lease file renders ?
test-aeon-lease.sh	ok	an empty bead id renders ?
test-aeon-lease.sh	ok	unchanged trace with future deadline is ok
test-aeon-lease.sh	ok	trace grew → renewed
test-aeon-lease.sh	ok	lease file written on renewal
test-aeon-lease.sh	ok	silent trace with past deadline → lapsed
test-aeon-lease.sh	ok	.lapsed marker written on lapse
test-aeon-lease.sh	ok	trailing result line + silent trace → lapsed (not acting)
test-aeon-lease.sh	ok	lapsed marker quiet field is numeric: 0
test-aeon-lease.sh	ok	lapsed marker last field is non-empty
test-aeon-worktree-guard.sh	ok	case 1: commit in worktree is allowed
test-aeon-worktree-guard.sh	ok	case 2: commit in production checkout is refused
test-aeon-worktree-guard.sh	ok	case 2: refusal names the production checkout path
test-aeon-worktree-guard.sh	ok	case 2: refusal names SPIRA_WORK
test-aeon-worktree-guard.sh	ok	case 2: refusal message identifies branch-guard.sh
test-aeon-worktree-guard.sh	ok	case 3: commit with no SPIRA_WORK is allowed
test-aeon-worktree-guard.sh	ok	case 4: operator commit in production checkout is allowed
test-batch-maxpar.sh	ok	A0: _maxpar= assignment found in batch script
test-batch-maxpar.sh	ok	A1: default equals nproc output (stub→7)
test-batch-maxpar.sh	ok	A1-pos: explicit SPIRA_BATCH_MAXPAR overrides nproc
test-batch-maxpar.sh	ok	B1: SPIRA_BATCH_MAXPAR in SPIRA_CONF_KEYS
test-batch-maxpar.sh	ok	B1-pos: SPIRA_BATCH_NOEXIST absent from SPIRA_CONF_KEYS (positive control)
test-batch-maxpar.sh	ok	B2: spira.conf line sets SPIRA_BATCH_MAXPAR
test-bd-lock-retry.sh	ok	positive control: REACHED-PAST-GUARD absent
test-bd-lock-retry.sh	ok	positive control: schema mismatch message
test-bd-lock-retry.sh	ok	lock: REACHED-PAST-GUARD absent (conf.sh refuses)
test-bd-lock-retry.sh	ok	lock: message names embedded mode
test-bd-lock-retry.sh	ok	lock: message names dolt_mode
test-bd-lock-retry.sh	ok	lock: message directs user to doctor.sh
test-bd-lock-retry.sh	ok	doctor mode: REACHED-PAST-GUARD present
test-bd-resolve.sh	ok	schema mismatch causes conf.sh to refuse (exit 1)
test-bd-resolve.sh	ok	with matching SPIRA_BD set, conf.sh succeeds despite mismatched binary on PATH
test-bd-resolve.sh	ok	SPIRA_BD resolves to first bd on SPIRA_PATH
test-bd-resolve.sh	ok	SPIRA_BD resolves to the PATH-first binary when unset
test-bd-resolve.sh	ok	env-set SPIRA_BD survives unchanged (env wins over PATH-first)
test-bd-resolve.sh	ok	config-file SPIRA_BD wins over PATH-derived default
test-bd-resolve.sh	ok	env wins over config file for SPIRA_BD
test-bd-resolve.sh	ok	SPIRA_BD appears in the exported environment
test-bd-schema-stamp.sh	ok	positive control: bd called once on first source
test-bd-schema-stamp.sh	ok	positive control: conf.sh continues past schema check
test-bd-schema-stamp.sh	ok	positive control: stamp file written
test-bd-schema-stamp.sh	ok	cache hit: bd not called on second source
test-bd-schema-stamp.sh	ok	cache hit: conf.sh continues normally
test-bd-schema-stamp.sh	ok	cache hit: bd not called on third source
test-bd-schema-stamp.sh	ok	cache hit: conf.sh continues on third source
test-bd-schema-stamp.sh	ok	binary swap: bd called again after binary replaced
test-bd-schema-stamp.sh	ok	binary swap: REACHED-PAST-GUARD absent (mismatch exits conf.sh)
test-bd-schema-stamp.sh	ok	binary swap: schema mismatch reported
test-bd-stdin.sh	ok	scanner catches bare-dash note in synthetic file
test-bd-stdin.sh	ok	scanner catches bare-dash create in synthetic file
test-bd-stdin.sh	ok	scanner is silent on --stdin usage
test-bd-stdin.sh	ok	scanner is silent on --body-file usage
test-bd-stdin.sh	ok	no bare-dash bd note in sources
test-bd-stdin.sh	ok	no bare-dash bd create in sources
test-beads-push-verify.sh	ok	clean+matching remote exits 0
test-beads-push-verify.sh	ok	and says so
test-beads-push-verify.sh	ok	broken probe exits non-zero
test-beads-push-verify.sh	ok	and never claims success
test-beads-push-verify.sh	ok	and names what it could not do
test-beads-push-verify.sh	ok	dirty store commits then pushes
test-beads-push-verify.sh	ok	and reports what it committed
test-beads-push-verify.sh	ok	a commit that clears nothing fails
test-beads-push-verify.sh	ok	and never claims success
test-beads-push-verify.sh	ok	remote behind local is a failure
test-beads-push-verify.sh	ok	and never claims success
test-beads-push-verify.sh	ok	and names the disagreement
test-bin-manifest.sh	ok	manifest loaded (17 programs)
test-bin-manifest.sh	ok	every program has a valid tier
test-bin-manifest.sh	ok	every program states a purpose
test-bin-manifest.sh	ok	an undeclared program falls back to 'optional'
test-bin-manifest.sh	ok	an undeclared program has no real purpose
test-bin-manifest.sh	ok	no declared program is unchecked by doctor.sh
test-bin-manifest.sh	ok	bd-embedded declares its absence consequence
test-bin-manifest.sh	ok	the consequence names the engine it falls back to
test-bin-manifest.sh	ok	doctor.sh prints the absence consequence
test-bin-manifest.sh	ok	inotifywait is operator tier
test-bin-manifest.sh	ok	aerc is operator tier
test-bin-manifest.sh	ok	hunk is operator tier
test-bin-manifest.sh	ok	go is operator tier
